track_title,artist,bpm,key,genre,frat_basement_essential,vibe_score,name
Have It All,ANDREA CALABRIA,128.0,2A,Dance,0,1.055164360315687,Temp 1
Nu feat. Jo.Ke - Who Loves The Sun (Original Mix) [BAR25-019],Bar 25 Music,120.0,2A,Organic House,0,1.1006531381683442,Temp 1
PREMIERE: Kreech - Funk You,House Six,127.0,1A,Minimal / Deep Tech,0,1.0230615974740405,Temp 1
Afraid To Feel,LF SYSTEM,127.8,1A,Dance,0,1.1943510442201324,Temp 1
First Class G6 (Far East Movement x Jack Harlow),K A R K E Y S,125.0,1A,Dance & EDM,0,1.1114975234768338,Temp 1
LIKE A G6,Talha Asif,125.0,1A,Dance,0,1.243763359732943,Temp 1
California Dreamin' (feat. High Jinx),Chris Lorenzo,128.0,2A,Dance,0,1.0552691538126855,Temp 1
Youthful Kids,it's murph,127.0,2A,House,0,1.1574225242475022,Temp 1
After Saturday Night (Monkey Safari Remix),Sparrow & Barbossa,122.0,3A,Afro House,0,1.164715489398833,Temp 1
CORA DE HIELO,RØZ,130.0,3A,House,0,1.207699267348151,Temp 1
Jackie Chan (feat. Preme & Post Malone),Tiësto,128.0,2A,Dance,0,1.0423461462382164,Temp 1
California Dreamin' (feat. High Jinx),Chris Lorenzo,128.0,2A,Dance,0,1.0552691538126855,Temp 1
Cher-Believe (jackyboom full edit) [Prod Bayer],Prod Bayer,137.06,8A,House,0,0.27629476403574216,Temp 1
Tate (how i feel),Fred again..,125.13,8B,Electronic,0,1.231815193674179,Temp 1
Taylor Swift - New Romantics (BVRNOUT Remix),BVRNOUT,128.0,7B,Dance & EDM,0,1.1096778476425952,Temp 1
Blondie - Heart of Glass (HECKI REMIX) | FREE DOWNLOAD,Hecki,135.0,7A,House,0,0.11732672144329774,Temp 1
Travis Scott - pick up the phone (CHALANT Remix),CHALANT,130.0,7A,Tech House,0,1.1102592256389667,Temp 1
Blame (feat. John Newman),Calvin Harris,128.0,6A,Dance,0,1.1464901171782909,Temp 1
Talk talk,charlixcx,130.0,6B,Electronic,0,1.2383703630713638,Temp 1
Unwritten (NETTED Remix),NETTED,115.0,7B,,0,2.2341651375531355,Temp 1
Deep Down (feat. Never Dull),Alok,126.0,7A,Dance,0,1.153752139316546,Temp 1
BigXThaPlug - Levels (KARKEYS Remix),K A R K E Y S,130.0,8A,House,0,1.1986288381866894,Temp 1
Love To The World,Diplo,123.0,8A,Dance & EDM,0,1.2610210494870804,Temp 1
Peace of Mind,Disco Lines,131.89,8B,Electronic,0,0.25269180459374585,Temp 1
Sunshine (My Girl),wuki,128.0,8B,Dance,0,1.1374899444749458,Temp 1
Nokia Drake x Last Friday Night (TGIF),WillRed,126.0,8A,,0,1.1052419293563218,Temp 1
A$AP Rocky & Frank Ocean - Ivy Money Trees (Kysela Mix),Kysela,132.0,7A,House,0,0.22077151445017812,Temp 1
(It Goes Like) Nanana (Edit),PEGGY GOU,130.0,6A,Dance,0,1.2431057293640526,Temp 1
Look At Me Dance,ATRIP,130.0,6A,Electronic,0,1.0374211383558205,Temp 1
highjack (laszewo edit),Łaszewo,146.0,5A,Electronic,0,0.05525327160620149,Temp 1
NYP2 x SWEET DISPOSITION (discozyn edit),DISCOZYN,124.0,6A,House,0,1.1485588648932001,Temp 1
Makeba (Ian Asher Remix),JAIN MUSIC,124.0,6A,Dance/House,0,1.1401352163110205,Temp 1
NLE Choppa - SLUT ME OUT (CARLYLE Remix) FREE DL - [pitched],CARLYLE,128.0,6A,,0,1.2297924390422847,Temp 1
Somebody (2024) [feat. Kimbra & Sante Sansone],Gotye,130.0,7A,Dance,0,1.164741962039176,Temp 1
Stephanie (Disco Dom Refunk),jen,124.0,12A,,0,1.1055436112956933,Temp 1
Underwater,RÜFÜS DU SOL,118.0,11A,Electronic,0,2.0522055142337083,Temp 1
Sit Next to Me (Stereotypes Remix),Foster The People,105.0,11B,Alternative,0,2.2852774348210194,Temp 1
"I Dont Care, I Love it!",Jonalyn Eria Goldenstorm,126.0,10B,,0,1.1146558540703806,Temp 1
Afeto (Ankhoï Remix),Mayra Andrade,120.0,10A,Electronic,0,1.2314579814773574,Temp 1
Stephanie (HNTR Remix),HELLBENT,134.0,10B,House,0,0.031168518744463435,Temp 1
Summer,Calvin Harris,128.0,9B,Dance,0,1.078389368306575,Temp 1
taylor swift - style (disco lines remix),Disco Lines,127.0,10B,DISCO DISCO DISCO,0,1.095668232515794,Temp 1
I Just Need (with Lyrah),Daniel Allan,132.99,9B,Electronic,0,0.07422717170858874,Temp 1
Voulez Vous (Tannergard Remix),Tannergard,126.0,9A,Dance & EDM,0,1.2620908453674926,Temp 1
Magic,Olympic Ayres,117.0,9A,,0,2.0939646630126756,Temp 1
Justin Timberlake - My Love (it's murph Remix),it's murph,128.0,9A,House,0,1.2255727573388069,Temp 1
Pump It Louder - Mixed,Tiësto,126.0,9A,Dance,0,1.1248725829601645,Temp 1
Sattam - Bowa [Eton Messy Records],Eton Messy Records,122.0,9B,House,0,1.232126817991355,Temp 1
